TempoAlocacao,Tempo,Particionamento,Nucleos
0.354808,3.335161,LinhaRoundRobin,4
0.382174,3.400555,LinhaRoundRobin,4
0.394406,3.385298,LinhaRoundRobin,4
0.362039,3.341277,LinhaRoundRobin,4
0.496354,3.174647,LinhaRoundRobin,4
0.371355,3.349213,LinhaRoundRobin,4
0.355443,3.326538,LinhaRoundRobin,4
0.378619,3.360757,LinhaRoundRobin,4
0.489416,3.182955,LinhaRoundRobin,4
0.409225,3.412444,LinhaRoundRobin,4
0.389491,3.072661,LinhaRoundRobin,4
0.378029,3.373422,LinhaRoundRobin,4
0.355105,3.362264,LinhaRoundRobin,4
0.479906,3.183752,LinhaRoundRobin,4
0.492525,3.222945,LinhaRoundRobin,4
0.355182,3.370797,LinhaRoundRobin,4
0.479705,3.17197,LinhaRoundRobin,4
0.483007,3.197102,LinhaRoundRobin,4
0.502331,3.202765,LinhaRoundRobin,4
0.390055,3.398002,LinhaRoundRobin,4
0.473134,3.17169,LinhaRoundRobin,4
0.379571,3.378508,LinhaRoundRobin,4
0.481945,3.162828,LinhaRoundRobin,4
0.474898,3.181611,LinhaRoundRobin,4
0.473552,3.14953,LinhaRoundRobin,4
0.479121,3.189205,LinhaRoundRobin,4
0.487767,3.20638,LinhaRoundRobin,4
0.381358,3.361719,LinhaRoundRobin,4
0.38338,3.434128,LinhaRoundRobin,4
0.481842,3.157057,LinhaRoundRobin,4
0.368006,3.349422,LinhaRoundRobin,4
0.527829,3.193607,LinhaRoundRobin,4
0.473397,3.171057,LinhaRoundRobin,4
0.321076,1.889115,LinhaRoundRobin,8
0.317574,1.881286,LinhaRoundRobin,8
0.243631,2.03651,LinhaRoundRobin,8
0.308777,2.281242,LinhaRoundRobin,8
0.319834,1.894782,LinhaRoundRobin,8
0.336898,1.874734,LinhaRoundRobin,8
0.327108,1.91627,LinhaRoundRobin,8
0.340457,1.895214,LinhaRoundRobin,8
0.33315,1.894613,LinhaRoundRobin,8
0.328929,1.916901,LinhaRoundRobin,8
0.33799,3.071104,LinhaRoundRobin,8
0.244079,1.993793,LinhaRoundRobin,8
0.332973,2.001268,LinhaRoundRobin,8
0.320478,1.877181,LinhaRoundRobin,8
0.337899,2.010542,LinhaRoundRobin,8
0.333036,1.882691,LinhaRoundRobin,8
0.242244,2.006199,LinhaRoundRobin,8
0.241785,1.990539,LinhaRoundRobin,8
0.326812,1.881364,LinhaRoundRobin,8
0.324787,1.901769,LinhaRoundRobin,8
0.247453,1.982979,LinhaRoundRobin,8
0.316173,1.90779,LinhaRoundRobin,8
0.327131,2.257613,LinhaRoundRobin,8
0.314574,1.894149,LinhaRoundRobin,8
0.319832,1.908036,LinhaRoundRobin,8
0.336797,1.903701,LinhaRoundRobin,8
0.335339,1.908889,LinhaRoundRobin,8
0.32044,2.025379,LinhaRoundRobin,8
0.333892,3.098111,LinhaRoundRobin,8
0.240467,1.994087,LinhaRoundRobin,8
0.337206,2.024924,LinhaRoundRobin,8
0.323492,1.889556,LinhaRoundRobin,8
0.32505,1.885021,LinhaRoundRobin,8
0.313558,1.891362,LinhaRoundRobin,8
0.25444,1.979203,LinhaRoundRobin,8
0.337927,1.895718,LinhaRoundRobin,8
0.309738,2.246658,LinhaRoundRobin,8
0.453265,2.945149,LinhaRoundRobin,8
0.299546,3.617194,LinhaRoundRobin,8
0.241201,1.992239,LinhaRoundRobin,8
0.335723,1.884853,LinhaRoundRobin,8
0.245201,1.993787,LinhaRoundRobin,8
0.352606,2.042028,LinhaRoundRobin,8
0.331146,1.888685,LinhaRoundRobin,8
0.329421,1.899631,LinhaRoundRobin,8
0.321002,1.891674,LinhaRoundRobin,8
0.239763,1.987689,LinhaRoundRobin,8
0.320015,3.19972,LinhaRoundRobin,8
1.302526,1.915333,LinhaRoundRobin,8
0.292558,2.818272,LinhaRoundRobin,8
0.470329,1.898463,LinhaRoundRobin,16
0.35829,1.92608,LinhaRoundRobin,16
0.391345,1.646763,LinhaRoundRobin,16
0.346889,1.927659,LinhaRoundRobin,16
0.394404,1.978463,LinhaRoundRobin,16
0.413337,1.651377,LinhaRoundRobin,16
1.930531,1.527076,LinhaRoundRobin,16
0.506064,1.455576,LinhaRoundRobin,16
0.371175,1.851143,LinhaRoundRobin,16
0.422833,1.958463,LinhaRoundRobin,16
0.498148,1.612383,LinhaRoundRobin,16
0.439039,1.814267,LinhaRoundRobin,16
0.506931,1.460148,LinhaRoundRobin,16
0.463694,1.945687,LinhaRoundRobin,16
0.532954,1.533032,LinhaRoundRobin,16
0.390685,1.920687,LinhaRoundRobin,16
0.390705,1.889716,LinhaRoundRobin,16
0.438022,1.934267,LinhaRoundRobin,16
0.478071,1.691751,LinhaRoundRobin,16
0.488082,2.446495,LinhaRoundRobin,16
0.415488,2.370425,LinhaRoundRobin,16
0.355253,1.7212383,LinhaRoundRobin,16
0.463,1.892384,LinhaRoundRobin,16
0.490511,1.757314,LinhaRoundRobin,16
0.454665,3.337077,LinhaRoundRobin,16
0.468444,1.900985,LinhaRoundRobin,16
1.168593,1.669208,LinhaRoundRobin,16
0.43393,2.526421,LinhaRoundRobin,16
0.498643,1.706864,LinhaRoundRobin,16
0.397656,1.803561,LinhaRoundRobin,16
0.363458,1.842384,LinhaRoundRobin,16
0.50247,1.934074,LinhaRoundRobin,16
0.455545,2.283207,LinhaRoundRobin,16
0.452395,2.333712,LinhaRoundRobin,16
0.534339,2.291253,LinhaRoundRobin,16
0.471978,2.327356,LinhaRoundRobin,16
0.477149,1.884679,LinhaRoundRobin,16
0.4329,1.926426,LinhaRoundRobin,16
0.428354,2.492933,LinhaRoundRobin,16
0.354884,1.800214,LinhaRoundRobin,16
0.38609,1.668046,LinhaRoundRobin,16
0.413361,1.612461,LinhaRoundRobin,16
0.449922,1.872798,LinhaRoundRobin,16
1.427736,1.97924,LinhaRoundRobin,16
1.193779,1.894734,LinhaRoundRobin,16
0.395936,1.649038,LinhaRoundRobin,16
0.358491,1.89415,LinhaRoundRobin,16
0.554099,1.660768,LinhaRoundRobin,16
2.021171,1.75058,LinhaRoundRobin,16
0.441144,1.570768,LinhaRoundRobin,16







0.684373,8.330702,ColunaNormal,2
0.667464,8.259916,ColunaNormal,2
0.664847,7.924356,ColunaNormal,2
0.588513,7.719502,ColunaNormal,2
0.6793,8.349022,ColunaNormal,2
0.671461,8.238544,ColunaNormal,2
0.670268,7.875314,ColunaNormal,2
0.677724,7.892509,ColunaNormal,2
0.669178,7.933278,ColunaNormal,2
0.669196,7.896977,ColunaNormal,2
0.671808,7.866018,ColunaNormal,2
0.68754,8.408146,ColunaNormal,2
0.58781,7.763386,ColunaNormal,2
0.681505,7.859249,ColunaNormal,2
0.668305,8.35275,ColunaNormal,2
0.67667,7.892759,ColunaNormal,2
0.678563,7.899642,ColunaNormal,2
0.592935,7.723096,ColunaNormal,2
0.677808,7.890692,ColunaNormal,2
0.668769,8.265689,ColunaNormal,2
0.676066,8.337284,ColunaNormal,2
0.679248,8.404358,ColunaNormal,2
0.591796,7.706601,ColunaNormal,2
0.664466,7.89004,ColunaNormal,2
0.66845,7.921367,ColunaNormal,2
0.679283,7.886435,ColunaNormal,2
0.675117,7.840295,ColunaNormal,2
0.591958,7.752697,ColunaNormal,2
0.678977,7.86451,ColunaNormal,2
0.679259,8.367654,ColunaNormal,2
0.671059,7.857548,ColunaNormal,2
0.672418,7.860294,ColunaNormal,2
0.588189,7.739934,ColunaNormal,2
0.66987,8.316977,ColunaNormal,2
0.676084,8.186926,ColunaNormal,2
0.681211,7.871734,ColunaNormal,2
0.671946,7.86278,ColunaNormal,2
0.681434,8.360493,ColunaNormal,2
0.669148,8.187728,ColunaNormal,2
0.671976,7.871068,ColunaNormal,2
0.670489,8.321596,ColunaNormal,2
0.680045,8.337126,ColunaNormal,2
0.670857,8.320909,ColunaNormal,2
0.67818,7.985557,ColunaNormal,2
0.587519,7.741298,ColunaNormal,2
0.677547,7.882478,ColunaNormal,2
0.590252,7.716859,ColunaNormal,2
0.673308,7.861503,ColunaNormal,2
0.683148,8.349967,ColunaNormal,2
0.587504,7.719623,ColunaNormal,2
0.501405,5.035303,ColunaNormal,4
0.492771,5.80073,ColunaNormal,4
0.502739,5.05477,ColunaNormal,4
0.480059,5.140701,ColunaNormal,4
0.39268,5.601002,ColunaNormal,4
0.427312,5.763719,ColunaNormal,4
0.370142,5.43291,ColunaNormal,4
0.379092,5.47094,ColunaNormal,4
0.495117,5.560246,ColunaNormal,4
0.392761,5.205862,ColunaNormal,4
0.543479,5.096318,ColunaNormal,4
0.509261,5.091466,ColunaNormal,4
0.510212,5.085642,ColunaNormal,4
0.379019,5.310971,ColunaNormal,4
0.433274,5.300329,ColunaNormal,4
0.525893,5.362868,ColunaNormal,4
0.496594,5.160769,ColunaNormal,4
0.465424,5.266347,ColunaNormal,4
0.366268,5.34679,ColunaNormal,4
0.380259,5.438768,ColunaNormal,4
0.510632,5.068554,ColunaNormal,4
0.504632,5.043408,ColunaNormal,4
0.387059,5.36173,ColunaNormal,4
0.37642,5.430949,ColunaNormal,4
0.378225,5.422285,ColunaNormal,4
0.518825,5.066144,ColunaNormal,4
0.386254,5.605625,ColunaNormal,4
0.379894,5.36864,ColunaNormal,4
