TempoAlocacao,Tempo,Particionamento,Nucleos,Pontos
0.007008,0.089612,LinhaRoundRobin,2 sparks,66049
0.008668,0.093523,LinhaRoundRobin,2 sparks,66049
0.007957,0.094224,LinhaRoundRobin,2 sparks,66049
0.008121,0.093839,LinhaRoundRobin,2 sparks,66049
0.008267,0.09386,LinhaRoundRobin,2 sparks,66049
0.008335,0.093354,LinhaRoundRobin,2 sparks,66049
0.006853,0.08924,LinhaRoundRobin,2 sparks,66049
0.00714,0.089628,LinhaRoundRobin,2 sparks,66049
0.008439,0.094387,LinhaRoundRobin,2 sparks,66049
0.008368,0.093924,LinhaRoundRobin,2 sparks,66049
0.008318,0.093785,LinhaRoundRobin,2 sparks,66049
0.008724,0.093526,LinhaRoundRobin,2 sparks,66049
0.008326,0.093526,LinhaRoundRobin,2 sparks,66049
0.008243,0.093644,LinhaRoundRobin,2 sparks,66049
0.008057,0.09345,LinhaRoundRobin,2 sparks,66049
0.008248,0.093215,LinhaRoundRobin,2 sparks,66049
0.008323,0.093559,LinhaRoundRobin,2 sparks,66049
0.008274,0.093749,LinhaRoundRobin,2 sparks,66049
0.008355,0.094381,LinhaRoundRobin,2 sparks,66049
0.007835,0.093197,LinhaRoundRobin,2 sparks,66049
0.008452,0.093215,LinhaRoundRobin,2 sparks,66049
0.00803,0.093566,LinhaRoundRobin,2 sparks,66049
0.007991,0.094491,LinhaRoundRobin,2 sparks,66049
0.00793,0.094457,LinhaRoundRobin,2 sparks,66049
0.007058,0.089012,LinhaRoundRobin,2 sparks,66049
0.007193,0.09197,LinhaRoundRobin,2 sparks,66049
0.008567,0.095059,LinhaRoundRobin,2 sparks,66049
0.006857,0.065246,LinhaRoundRobin,4 sparks,66049
0.006142,0.055637,LinhaRoundRobin,4 sparks,66049
0.007278,0.055236,LinhaRoundRobin,4 sparks,66049
0.005732,0.051499,LinhaRoundRobin,4 sparks,66049
0.006734,0.064789,LinhaRoundRobin,4 sparks,66049
0.009286,0.065048,LinhaRoundRobin,4 sparks,66049
0.007489,0.060148,LinhaRoundRobin,4 sparks,66049
0.011022,0.067033,LinhaRoundRobin,4 sparks,66049
0.005951,0.052417,LinhaRoundRobin,4 sparks,66049
0.00677,0.064367,LinhaRoundRobin,4 sparks,66049
0.007108,0.06019,LinhaRoundRobin,4 sparks,66049
0.006538,0.053325,LinhaRoundRobin,4 sparks,66049
0.006538,0.055994,LinhaRoundRobin,4 sparks,66049
0.009591,0.068633,LinhaRoundRobin,4 sparks,66049
0.007447,0.054104,LinhaRoundRobin,4 sparks,66049
0.006804,0.074028,LinhaRoundRobin,4 sparks,66049
0.007157,0.06432,LinhaRoundRobin,4 sparks,66049
0.006542,0.057929,LinhaRoundRobin,4 sparks,66049
0.006094,0.058341,LinhaRoundRobin,4 sparks,66049
0.006241,0.057052,LinhaRoundRobin,4 sparks,66049
0.006882,0.065841,LinhaRoundRobin,4 sparks,66049
0.006401,0.060467,LinhaRoundRobin,4 sparks,66049
0.011998,0.072048,LinhaRoundRobin,4 sparks,66049
0.006043,0.054065,LinhaRoundRobin,4 sparks,66049
