Alocacao,Tempo,Linguagem,Nucleos
0.481842,3.157057,Haskell,4
0.368006,3.349422,Haskell,4
0.527829,3.193607,Haskell,4
0.473397,3.171057,Haskell,4
0.321076,1.889115,Haskell,8
0.317574,1.881286,Haskell,8
0.243631,2.03651,Haskell,8
0.308777,2.281242,Haskell,8
0.319834,1.894782,Haskell,8
0.336898,1.874734,Haskell,8
0.327108,1.91627,Haskell,8
0.340457,1.895214,Haskell,8
0.33315,1.894613,Haskell,8
0.328929,1.916901,Haskell,8
0.33799,3.071104,Haskell,8
0.244079,1.993793,Haskell,8
0.332973,2.001268,Haskell,8
0.320478,1.877181,Haskell,8
0.337899,2.010542,Haskell,8
0.333036,1.882691,Haskell,8
0.242244,2.006199,Haskell,8
0.241785,1.990539,Haskell,8
0.326812,1.881364,Haskell,8
0.324787,1.901769,Haskell,8
0.247453,1.982979,Haskell,8
0.316173,1.90779,Haskell,8
0.327131,2.257613,Haskell,8
0.314574,1.894149,Haskell,8
0.319832,1.908036,Haskell,8
0.336797,1.903701,Haskell,8
0.335339,1.908889,Haskell,8
0.32044,2.025379,Haskell,8
0.333892,3.098111,Haskell,8
0.240467,1.994087,Haskell,8
0.337206,2.024924,Haskell,8
0.323492,1.889556,Haskell,8
0.32505,1.885021,Haskell,8
0.313558,1.891362,Haskell,8
0.25444,1.979203,Haskell,8
0.337927,1.895718,Haskell,8
0.309738,2.246658,Haskell,8
0.453265,2.945149,Haskell,8
0.299546,3.617194,Haskell,8
0.241201,1.992239,Haskell,8
0.335723,1.884853,Haskell,8
0.245201,1.993787,Haskell,8
0.352606,2.042028,Haskell,8
0.331146,1.888685,Haskell,8
0.329421,1.899631,Haskell,8
0.321002,1.891674,Haskell,8
0.239763,1.987689,Haskell,8
0.320015,3.19972,Haskell,8
1.302526,1.915333,Haskell,8
0.292558,2.818272,Haskell,8
0.470329,1.898463,Haskell,16
0.35829,1.92608,Haskell,16
0.391345,1.646763,Haskell,16
0.346889,1.927659,Haskell,16
0.394404,1.978463,Haskell,16
0.413337,1.651377,Haskell,16
1.930531,1.527076,Haskell,16
0.506064,1.455576,Haskell,16
0.371175,1.851143,Haskell,16
0.422833,1.958463,Haskell,16
0.498148,1.612383,Haskell,16
0.439039,1.814267,Haskell,16
0.506931,1.460148,Haskell,16
0.463694,1.945687,Haskell,16
0.532954,1.533032,Haskell,16
0.390685,1.920687,Haskell,16
0.390705,1.889716,Haskell,16
0.438022,1.934267,Haskell,16
0.478071,1.691751,Haskell,16
0.488082,2.446495,Haskell,16
0.415488,2.370425,Haskell,16
0.355253,1.7212383,Haskell,16
0.463,1.892384,Haskell,16
0.490511,1.757314,Haskell,16
0.454665,3.337077,Haskell,16
0.468444,1.900985,Haskell,16
1.168593,1.669208,Haskell,16
0.43393,2.526421,Haskell,16
0.498643,1.706864,Haskell,16
0.397656,1.803561,Haskell,16
0.363458,1.842384,Haskell,16
0.50247,1.934074,Haskell,16
0.455545,2.283207,Haskell,16
0.452395,2.333712,Haskell,16
0.534339,2.291253,Haskell,16
0.471978,2.327356,Haskell,16
0.477149,1.884679,Haskell,16
0.4329,1.926426,Haskell,16
0.428354,2.492933,Haskell,16
0.354884,1.800214,Haskell,16
0.38609,1.668046,Haskell,16
0.413361,1.612461,Haskell,16
0.449922,1.872798,Haskell,16
1.427736,1.97924,Haskell,16
1.193779,1.894734,Haskell,16
0.395936,1.649038,Haskell,16
0.358491,1.89415,Haskell,16
0.554099,1.660768,Haskell,16
2.021171,1.75058,Haskell,16
0.441144,1.570768,Haskell,16
