TempoAlocacao,Tempo,Pontos,Nucleos
0.243441,0.219463,263169,16
0.245137,0.242342,263169,16
0.232529,0.234036,263169,16
0.275476,0.242379,263169,16
0.26346,0.253919,263169,16
0.29671,0.252659,263169,16
0.226942,0.243891,263169,16
0.228828,0.241546,263169,16
0.220857,0.22693,263169,16
0.233881,0.23223,263169,16
0.282835,0.246562,263169,16
0.238585,0.233426,263169,16
0.242979,0.239361,263169,16
0.228733,0.243121,263169,16
1.116998,0.864586,1050625,16
0.915537,0.983905,1050625,16
0.884956,0.978773,1050625,16
0.98517,0.958525,1050625,16
1.013592,0.993245,1050625,16
0.94776,0.993924,1050625,16
0.955425,1.00388,1050625,16
1.186514,1.022041,1050625,16
1.200344,1.017573,1050625,16
0.962415,0.924651,1050625,16
0.910257,1.11712,1050625,16
0.994715,0.943384,1050625,16
0.950231,0.986731,1050625,16
1.196113,0.996052,1050625,16
0.959077,1.010463,1050625,16
0.987545,0.970142,1050625,16
1.003518,0.946947,1050625,16
0.898565,0.982681,1050625,16
1.005142,0.975692,1050625,16
1.004904,0.999354,1050625,16
0.975352,0.949778,1050625,16
1.099395,0.899377,1050625,16
1.049325,0.85183,1050625,16
0.927874,0.930057,1050625,16
0.959075,0.980066,1050625,16
0.966856,1.032369,1050625,16
0.947832,1.012388,1050625,16
1.228576,1.024285,1050625,16
0.965777,0.987258,1050625,16
0.984858,1.010797,1050625,16
0.889077,0.969315,1050625,16
0.917922,0.96849,1050625,16
0.891869,1.00972,1050625,16
0.980484,0.986871,1050625,16
0.994861,0.908086,1050625,16
0.917488,1.039962,1050625,16
0.960904,1.005504,1050625,16
0.943705,0.966241,1050625,16
0.77905,0.933158,1050625,16
0.968494,0.952415,1050625,16
0.909502,0.927002,1050625,16
1.004688,1.061913,1050625,16
0.946684,0.991212,1050625,16
1.106591,0.902587,1050625,16
0.865349,0.948168,1050625,16
0.930367,0.997526,1050625,16
0.888072,0.954062,1050625,16
0.97404,0.975533,1050625,16
0.955267,0.976403,1050625,16
1.35632,0.960995,1050625,16
3.940995,3.699393,4198401,16
4.042635,3.799845,4198401,16
3.970257,3.845684,4198401,16
3.880769,3.826695,4198401,16
3.743527,3.9704,4198401,16
4.102498,4.032935,4198401,16
4.045698,3.783976,4198401,16
4.150324,3.938396,4198401,16
3.832928,3.768328,4198401,16
3.940658,3.784089,4198401,16
3.953296,3.950423,4198401,16
4.027273,3.707539,4198401,16
3.918094,3.915052,4198401,16
3.795319,3.997025,4198401,16
3.950196,3.919584,4198401,16
4.00029,3.822824,4198401,16
3.774352,3.925409,4198401,16
3.986289,3.690393,4198401,16
3.854328,3.899151,4198401,16
3.78832,3.944877,4198401,16
3.962706,3.793467,4198401,16
4.071719,3.693645,4198401,16
4.000634,3.911626,4198401,16
3.912497,3.924113,4198401,16
4.009218,3.784775,4198401,16
4.642492,3.718788,4198401,16
3.959025,4.006277,4198401,16
4.045094,3.710866,4198401,16
3.802812,3.775256,4198401,16
3.940535,3.765768,4198401,16
3.780107,3.949798,4198401,16
3.962299,4.079367,4198401,16
3.997802,3.757406,4198401,16
3.986594,3.746695,4198401,16
4.01881,3.77308,4198401,16
3.789904,3.789606,4198401,16
3.91884,3.78384,4198401,16
4.11506,3.949055,4198401,16
4.221613,3.777033,4198401,16
3.838616,4.017528,4198401,16
3.900723,3.482963,4198401,16
4.013671,3.861761,4198401,16
3.960782,3.780922,4198401,16
3.927232,3.74036,4198401,16
3.751888,3.76322,4198401,16
4.088549,3.743848,4198401,16
3.826911,3.558592,4198401,16
3.893915,3.504858,4198401,16
3.801571,3.750137,4198401,16
3.94225,3.757501,4198401,16
